Link do jogo,Nome do Jogo,Preço com desconto,Desconto aplicado,Avaliação do jogo,Data de Lançamento,Data de Fim da promoção
https://store.steampowered.com/app/2140850/?curator_clanid=4777282&utm_source=SteamDB,Looper Tactics,"R$ 26,84",-25%,83.90%,Aug 2023,
https://store.steampowered.com/app/1095120/?curator_clanid=4777282&utm_source=SteamDB,Helheim Hassle,"R$ 2,99",-95%,83.88%,Aug 2020,
https://store.steampowered.com/app/761460/?curator_clanid=4777282&utm_source=SteamDB,Lamplight City,"R$ 25,48",-48%,83.88%,Sep 2018,
https://store.steampowered.com/app/1034910/?curator_clanid=4777282&utm_source=SteamDB,Blaster Master Zero 2,"R$ 17,74",-50%,83.86%,Nov 2019,
https://store.steampowered.com/app/1240060/?curator_clanid=4777282&utm_source=SteamDB,A Highland Song,"R$ 32,99",-40%,83.85%,Dec 2023,
https://store.steampowered.com/app/3085640/?curator_clanid=4777282&utm_source=SteamDB,Hypnosis Card 2 Happy Life,"R$ 37,79",-10%,83.85%,Oct 2024,
https://store.steampowered.com/app/842180/?curator_clanid=4777282&utm_source=SteamDB,Prison Simulator,"R$ 36,56",-43%,83.78%,Nov 2021,—
https://store.steampowered.com/app/1696440/?curator_clanid=4777282&utm_source=SteamDB,The Matchless Kungfu,"R$ 47,99",-20%,83.77%,Nov 2024,
https://store.steampowered.com/app/635320/?curator_clanid=4777282&utm_source=SteamDB,Last Day of June,"R$ 9,24",-75%,83.76%,Aug 2017,
https://store.steampowered.com/app/2274480/?curator_clanid=4777282&utm_source=SteamDB,Merchant of the Six Kingdoms,"R$ 23,49",-50%,83.76%,Jun 2023,
https://store.steampowered.com/app/1775550/?curator_clanid=4777282&utm_source=SteamDB,Gary Grigsby's War in the East 2,"R$ 145,69",-50%,83.76%,Dec 2021,
https://store.steampowered.com/app/1137750/?curator_clanid=4777282&utm_source=SteamDB,Farmer's Life,"R$ 37,46",-55%,83.75%,Oct 2023,
https://store.steampowered.com/app/1118240/?curator_clanid=4777282&utm_source=SteamDB,Lake,"R$ 15,19",-60%,83.74%,Sep 2021,
https://store.steampowered.com/app/2204170/?curator_clanid=4777282&utm_source=SteamDB,Splodey,"R$ 29,39",-30%,83.71%,Jun 2024,
https://store.steampowered.com/app/3184110/?curator_clanid=4777282&utm_source=SteamDB,Widget Inc.,"R$ 15,29",-10%,83.71%,Oct 2024,
https://store.steampowered.com/app/1861440/?curator_clanid=4777282&utm_source=SteamDB,CLeM,"R$ 29,99",-40%,83.69%,Feb 2024,
https://store.steampowered.com/app/1262060/?curator_clanid=4777282&utm_source=SteamDB,Battle Ram,"R$ 4,44",-95%,83.66%,Jan 2023,
https://store.steampowered.com/app/2579280/?curator_clanid=4777282&utm_source=SteamDB,子归 - Blossom,"R$ 20,92",-21%,83.66%,Jul 2024,
https://store.steampowered.com/app/1581800/?curator_clanid=4777282&utm_source=SteamDB,Slow living with Princess,"R$ 29,99",-50%,83.65%,Oct 2023,
https://store.steampowered.com/app/1811740/?curator_clanid=4777282&utm_source=SteamDB,The Plague Doctor of Wippra,"R$ 26,39",-20%,83.62%,Oct 2022,
https://store.steampowered.com/app/2261240/?curator_clanid=4777282&utm_source=SteamDB,Nope Nope Nope Nurses,"R$ 37,47",-40%,83.58%,Jan 2023,
